CATALOGUENUMBER;SPECIESSUMMARY;SAMPLING;TypeOfSample;NESTCOLLECTION;BDM;PLOT;COMMUNEEXTRACT;NUMBERWORKERS;X;Y;ALTITUDE;HABITAT;NUMBERQUEENS;NUMBERMALES;NUMBERLARVAE;NUMBERCOCOONS;IDENTIFIER;GENUSID;SPECISID;DATEIDENTIFICATION;CONFIRMEDID;SPECIESIDFINAL;COMMENTS;slope25;topo;south;gt_ch_100;LU18_46cl;LC18_27cl;SampleDate;SoilTemp;SoilTempAnomaly;TypeOfOpen;mixedForest;Grass;Forb;Shrub;Bare;Litter;Moss;bio1_tmean_8110;bio2_dr_8110;bio1_tmean_8110_8111;bio2_dr_8110_8111;bio5_tmaxw_8110;bio6_tminc_8110;bio7_tar_8110;bio8_twetq_8110;bio9_tdryq_8110;bio10_twarmq_8110;bio11_tcoldq_8110;bio12_p_8110;bio13_pwet_8110;bio14_pdry_8110;bio15_ps_8110;bio16_pwetq_8110;bio17_pdryq_8110;bio18_pwarmq_8110;bio19_pcoldq_8110
9987;Apha_subt;public;NA;oui;NA;NA;Valeyres-sous-Montagny;NA;537014;183110;468;ZoneConstruite;NA;NA;NA;NA;Tanja Schwander;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10133;Apha_subt;public;NA;oui;NA;NA;Rolle;15;515178;146203;395;lisiere;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12255;Apha_subt;public;NA;oui;NA;NA;Ollon;17;564317;127153;472;Autre;NA;NA;1;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12394;Apha_subt;public;NA;oui;NA;NA;Roche (VD);3;561160;134533;415;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12485;Apha_subt;public;NA;oui;NA;NA;Aigle;8;564149;128230;421;transport;NA;NA;17;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12647;Apha_subt;public;NA;oui;NA;NA;Ollon;12;565005;128021;518;lisiere;NA;NA;15;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15939;Apha_subt;public;NA;oui;NA;NA;Montreux;10;558246;143793;409;transport;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16115;Apha_subt;public;NA;oui;NA;NA;Aigle;10;564319;128380;479;lisiere;NA;NA;3;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16209;Apha_subt;public;NA;oui;NA;NA;Onnens (VD);8;542490;188381;476;Autre;1;3;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;reine ailée;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16270;Apha_subt;public;NA;oui;NA;NA;Aigle;11;564319;128380;479;lisiere;NA;NA;2;11;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
