CATALOGUENUMBER;SPECIESSUMMARY;SAMPLING;TypeOfSample;NESTCOLLECTION;BDM;PLOT;COMMUNEEXTRACT;NUMBERWORKERS;X;Y;ALTITUDE;HABITAT;NUMBERQUEENS;NUMBERMALES;NUMBERLARVAE;NUMBERCOCOONS;IDENTIFIER;GENUSID;SPECISID;DATEIDENTIFICATION;CONFIRMEDID;SPECIESIDFINAL;COMMENTS;slope25;topo;south;gt_ch_100;LU18_46cl;LC18_27cl;SampleDate;SoilTemp;SoilTempAnomaly;TypeOfOpen;mixedForest;Grass;Forb;Shrub;Bare;Litter;Moss;bio1_tmean_8110;bio2_dr_8110;bio1_tmean_8110_8111;bio2_dr_8110_8111;bio5_tmaxw_8110;bio6_tminc_8110;bio7_tar_8110;bio8_twetq_8110;bio9_tdryq_8110;bio10_twarmq_8110;bio11_tcoldq_8110;bio12_p_8110;bio13_pwet_8110;bio14_pdry_8110;bio15_ps_8110;bio16_pwetq_8110;bio17_pdryq_8110;bio18_pwarmq_8110;bio19_pcoldq_8110
2068;Form_lema;public;NA;non;NA;NA;Ormont-Dessous;3;573954;138622;1437;marais;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2286;Form_lema;public;NA;oui;NA;NA;Montricher;10;513576;161134;1660;PrairieSeche;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2311;Form_lema;public;NA;oui;NA;NA;Mont-la-Ville;6;516617;165677;1363;ForetConifere;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2334;Form_lema;public;NA;oui;NA;NA;Bassins;2;503965;150468;1277;transport;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2401;Form_lema;public;NA;oui;NA;NA;Marchissy;3;506432;152836;1484;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2425;Form_lema;public;NA;non;NA;NA;Le Chenit;3;508271;157744;1330;Autre;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2446;Form_lema;public;NA;oui;NA;NA;Longirod;4;507384;152991;1366;Autre;0;0;0;0;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2447;Form_lema;public;NA;oui;NA;NA;Bex;10;577029;122725;2046;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2451;Form_lema;public;NA;oui;NA;NA;Ormont-Dessus;11;578284;133147;1158;ZoneConstruite;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;étiquette déchirée et numéro en partie effacé !;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3115;Form_lema;public;NA;oui;NA;NA;Gingins;1;499511;143436;1370;ForetConifere;NA;NA;NA;NA;Tanja Schwander;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3168;Form_lema;public;NA;non;NA;NA;Bex;2;577441;126967;1606;lisiere;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3714;Form_lema;public;NA;oui;NA;NA;Bière;9;511814;157002;1341;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3962;Form_lema;public;NA;oui;NA;NA;Bière;5;511753;157028;1345;ForetConifere;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5060;Form_lema;public;NA;oui;NA;NA;Ollon;7;571847;129977;1784;ZoneConstruite;NA;NA;NA;1;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5094;Form_lema;public;NA;non;NA;NA;Le Chenit;3;508271;157744;1330;Autre;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5218;Form_lema;public;NA;oui;NA;NA;Montricher;3;513762;161063;1637;PrairieSeche;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5357;Form_lema;public;NA;non;NA;NA;Bex;13;578289;126638;1851;Autre;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5834;Form_lema;public;NA;oui;NA;NA;Le Chenit;8;503207;161145;1214;ForetConifere;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5873;Form_lema;public;NA;oui;NA;NA;Le Chenit;3;505589;163616;1235;ForetConifere;NA;NA;NA;1;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5970;Form_lema;public;NA;oui;NA;NA;Le Chenit;7;505927;163501;1198;ForetConifere;NA;NA;NA;2;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6025;Form_lema;public;NA;oui;NA;NA;Le Chenit;6;508264;157697;1332;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7506;Form_lema;public;NA;oui;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7948;Form_lema;public;NA;non;NA;NA;Le Chenit;5;508271;157744;1330;Autre;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8064;Form_lema;public;NA;oui;NA;NA;Château-d'Oex;8;569866;141875;1259;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8800;Form_lema;public;NA;NA;NA;NA;Bex;2;578038;126960;1732;PrairieSeche;NA;NA;NA;NA;Alain Reymond;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8872;Form_lema;public;NA;oui;NA;NA;Ollon;11;572701;130485;1818;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9546;Form_lema;public;NA;oui;NA;NA;Ormont-Dessus;6;575980;136296;2284;NA;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9560;Form_lema;public;NA;non;NA;NA;Le Chenit;9;508271;157744;1330;Autre;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9665;Form_lema;public;NA;non;NA;NA;Le Chenit;3;508271;157744;1330;Autre;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9804;Form_lema;public;NA;oui;NA;NA;Le Chenit;11;508271;157629;1336;Autre;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9880;Form_lema;public;NA;non;NA;NA;Le Chenit;5;508271;157744;1330;Autre;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9976;Form_lema;public;NA;oui;NA;NA;Le Chenit;12;508271;157629;1336;Autre;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9985;Form_lema;public;NA;oui;NA;NA;Ormont-Dessous;5;575778;136328;2320;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10163;Form_lema;public;NA;oui;NA;NA;Ormont-Dessous;11;574086;138418;1443;transport;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;7 ouvrières et 4 pseudogynes (malformations dues à un staphylin ?);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10201;Form_lema;public;NA;oui;NA;NA;Saint-Légier-La Chiésaz;10;560580;149679;1149;transport;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10392;Form_lema;public;NA;non;NA;NA;Le Chenit;24;508132;156390;1336;Autre;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10463;Form_lema;public;NA;non;NA;NA;La Rippe;26;497423;142345;1449;PrairieSeche;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10536;Form_lema;public;NA;oui;NA;NA;Le Lieu;4;509014;168146;1298;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10537;Form_lema;public;NA;oui;NA;NA;Ormont-Dessus;11;577567;130000;1525;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10584;Form_lema;public;NA;oui;NA;NA;Marchissy;11;505189;150721;1373;transport;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10675;Form_lema;public;NA;non;NA;NA;Le Chenit;2;508271;157744;1330;Autre;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10762;Form_lema;public;NA;oui;NA;NA;Ormont-Dessous;15;574510;138360;1503;Autre;NA;NA;1;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10817;Form_lema;public;NA;non;NA;NA;Le Chenit;6;508271;157744;1330;Autre;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11648;Form_lema;public;NA;oui;NA;NA;Grandevent;8;535239;189739;1191;Autre;NA;NA;1;2;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12049;Form_lema;public;NA;oui;NA;NA;Provence;NA;545114;198474;1416;lisiere;1;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12278;Form_lema;public;NA;oui;NA;NA;Corbeyrier;10;564403;134259;1194;transport;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12336;Form_lema;public;NA;oui;NA;NA;Ormont-Dessus;12;575466;132443;1640;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12498;Form_lema;public;NA;oui;NA;NA;Rougemont;3;581491;147944;972;Autre;NA;NA;NA;NA;Simon Vogel;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12655;Form_lema;public;NA;non;NA;NA;Le Chenit;1;508271;157744;1330;Autre;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12824;Form_lema;public;NA;oui;NA;NA;Le Chenit;9;508271;157629;1336;Autre;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13033;Form_lema;public;NA;non;NA;NA;Mauborget;10;537051;189807;1203;ForetFeuillus;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13087;Form_lema;public;NA;oui;NA;NA;Marchissy;10;507639;148876;836;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13107;Form_lema;public;NA;oui;NA;NA;Bière;8;511406;156310;1320;Autre;NA;NA;NA;1;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13113;Form_lema;public;NA;oui;NA;NA;Bière;12;511443;157955;1480;ForetConifere;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13217;Form_lema;public;NA;non;NA;NA;Montricher;8;514821;161487;1539;ForetConifere;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13240;Form_lema;public;NA;oui;NA;NA;Marchissy;8;507639;148876;836;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13296;Form_lema;public;NA;oui;NA;NA;Mauborget;10;537076;189794;1200;ZoneConstruite;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13360;Form_lema;public;NA;oui;NA;NA;Bière;11;511406;156307;1320;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13408;Form_lema;public;NA;oui;NA;NA;Montricher;11;514843;161509;1537;ForetConifere;NA;NA;NA;1;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13575;Form_lema;public;NA;oui;NA;NA;Montricher;2;513886;161251;1619;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13642;Form_lema;public;NA;oui;NA;NA;Blonay;8;561286;147891;1281;ForetMixe;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13882;Form_lema;public;NA;non;NA;NA;Montreux;6;561982;144068;760;lisiere;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14044;Form_lema;public;NA;non;NA;NA;Montreux;1;564400;144803;1531;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14049;Form_lema;public;NA;oui;NA;NA;Ormont-Dessous;12;574722;138669;1525;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14268;Form_lema;public;NA;oui;NA;NA;Ormont-Dessous;10;569835;138052;1643;Autre;NA;NA;NA;NA;Philippe Wegnez;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14345;Form_lema;public;NA;non;NA;NA;Montreux;1;561845;145683;1215;Autre;NA;NA;NA;NA;Anne Freitag;Form Serv;Form_lema;2019;oui;Form_lema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
